,Year,Rate,new_growthRate
0,2021,1.699,0.180
1,2020,1.696,0.180
2,2019,1.693,0.180
3,2018,1.69,0.600
4,2017,1.68,0.600
5,2016,1.67,0.600
6,2015,1.66,0.610
7,2014,1.65,0.610
8,2013,1.64,0.240
9,2012,1.636,0.250
10,2011,1.632,0.250
11,2010,1.6280000000000001,0.250
12,2009,1.624,0.250
13,2008,1.62,0.120
14,2007,1.618,0.120
15,2006,1.6159999999999999,0.120
16,2005,1.614,0.120
17,2004,1.6119999999999999,0.120
18,2003,1.61,-0.120
19,2002,1.6119999999999999,-0.120
20,2001,1.614,-0.120
21,2000,1.6159999999999999,-0.120
22,1999,1.618,-0.120
23,1998,1.62,-2.530
24,1997,1.662,-2.460
25,1996,1.704,-2.410
26,1995,1.746,-2.350
27,1994,1.788,-2.300
28,1993,1.83,-8.960
29,1992,2.01,-8.220
30,1991,2.19,-7.590
31,1990,2.37,-7.060
32,1989,2.55,-6.590
33,1988,2.73,1.560
34,1987,2.688,1.590
35,1986,2.6460000000000004,1.610
36,1985,2.6039999999999996,1.640
37,1984,2.562,1.670
38,1983,2.52,-3.740
39,1982,2.6180000000000003,-3.610
40,1981,2.716,-3.480
41,1980,2.8139999999999996,-3.370
42,1979,2.912,-3.260
43,1978,3.01,-10.890
44,1977,3.378,-9.820
45,1976,3.7460000000000004,-8.950
46,1975,4.114,-8.210
47,1974,4.482,-7.590
48,1973,4.85,-5.640
49,1972,5.14,-5.340
50,1971,5.43,-5.070
51,1970,5.72,-4.830
52,1969,6.01,-4.600
53,1968,6.3,0.480
54,1967,6.27,0.480
55,1966,6.24,0.480
56,1965,6.21,0.490
57,1964,6.18,0.490
58,1963,6.15,2.230
59,1962,6.016,2.280
60,1961,5.882000000000001,2.330
61,1960,5.747999999999999,2.390
62,1959,5.614,2.450
63,1958,5.48,-2.250
64,1957,5.606,-2.200
65,1956,5.732,-2.150
66,1955,5.858,-2.110
67,1954,5.984,-2.060
68,1953,6.11,-2.020
69,1952,6.236000000000001,-1.980
70,1951,6.362,-1.940
71,1950,6.4879999999999995,0.000
